t_name,SRR072893,SRR072894
FBtr0302339,11.806623,8.884487
FBtr0078919,11.026019,8.297084
FBtr0308807,0.0,0.0
FBtr0308808,0.0,0.0
FBtr0308809,0.0,0.0
FBtr0110805,0.0,0.0
FBtr0347125,0.0,0.0
FBtr0347124,0.0,0.0
FBtr0339552,13.970557999999999,11.592675999999999
FBtr0078950,15.656502,12.991664
FBtr0344215,24.961674,20.151114
FBtr0078949,28.281140999999998,22.830862
FBtr0113192,0.0,0.0
FBtr0290222,45.693405,23.173302
FBtr0345153,0.0,0.0
FBtr0078921,494.75430300000005,346.853119
FBtr0290250,0.0,0.0
FBtr0290249,0.0,0.0
FBtr0339973,0.0,0.0
FBtr0078923,0.0,0.0
FBtr0078946,77.661827,44.013008
FBtr0301244,14.232263,0.0
FBtr0336458,6.871392999999999,0.0
FBtr0078924,0.0,0.0
FBtr0346646,90.975266,128.38523899999998
FBtr0078944,103.20388,142.708176
FBtr0078925,66.47126,45.798716999999996
FBtr0346735,14.852782999999999,18.912717999999998
FBtr0078943,12.693188000000001,16.096294
FBtr0335428,15.891585000000001,20.382507
FBtr0078926,59.305099,54.63033299999999
FBtr0078941,0.0,0.0
FBtr0306343,4.8962639999999995,0.0
FBtr0335432,0.0,0.0
FBtr0078942,0.0,0.0
FBtr0078939,1.512314,0.0
FBtr0335431,0.0,0.0
FBtr0306344,0.0,0.0
FBtr0345149,0.0,0.0
FBtr0345148,0.0,0.0
FBtr0309986,0.0,0.0
FBtr0078938,2.155015,2.750164
FBtr0345142,0.0,0.0
FBtr0078937,0.0,0.0
FBtr0335430,0.0,0.0
FBtr0078935,100.625885,37.679817
FBtr0335429,0.0,0.0
FBtr0078936,3.331687,2.666409
FBtr0299947,0.23803600000000003,0.044028
FBtr0078928,51.453686,72.453339
FBtr0335239,0.0,0.0
FBtr0303867,0.0,0.0
FBtr0112726,0.0,0.0
FBtr0112568,0.0,0.0
FBtr0078929,0.0,0.0
FBtr0303865,0.0,0.0
FBtr0303866,0.0,0.0
FBtr0078896,0.0,0.0
FBtr0346214,0.0,0.0
FBtr0339604,0.0,0.0
FBtr0339605,0.0,0.0
FBtr0300474,0.0,0.0
FBtr0078854,0.0,0.0
FBtr0078855,0.0,0.0
FBtr0339397,0.0,0.0
FBtr0339395,0.0,0.0
FBtr0346413,0.0,0.0
FBtr0078895,0.0,0.0
FBtr0078894,69.292603,101.056831
FBtr0301297,0.0,0.0
FBtr0336457,0.0,0.0
FBtr0078856,39.161209,13.789742000000002
FBtr0078857,68.208504,79.404701
FBtr0305312,2.1278330000000003,0.0
FBtr0336456,1.220308,3.9764190000000004
FBtr0345249,0.0,1.7372169999999998
FBtr0301296,7.731771000000001,4.501767
FBtr0078893,52.736743999999995,26.312134000000004
FBtr0078859,92.08078,63.644527000000004
FBtr0305313,0.0,0.0
FBtr0336465,0.0,0.0
FBtr0078860,77.675377,61.280815000000004
FBtr0336462,82.21021999999999,63.886646
FBtr0078861,0.86951,0.0
FBtr0308820,0.0,0.0
FBtr0308849,0.0,0.0
FBtr0308850,0.0,0.0
FBtr0308851,0.0,0.0
FBtr0308852,0.0,0.0
FBtr0308855,0.0,0.0
FBtr0308856,0.0,0.0
FBtr0308857,0.0,0.0
FBtr0308858,0.0,0.0
FBtr0336464,0.0,0.0
FBtr0336463,0.0,0.0
FBtr0091931,0.0,0.0
FBtr0308853,0.0,0.0
FBtr0308854,0.0,0.0
FBtr0078892,242.192657,347.382477
FBtr0343891,0.0,0.0
FBtr0333922,0.0,0.0
FBtr0078891,0.0,0.0
FBtr0305133,0.0,0.0
FBtr0302613,3.7871339999999996,0.0
FBtr0302616,0.0,0.0
FBtr0089950,0.0,0.0
FBtr0089951,0.0,0.0
FBtr0089949,0.0,0.0
FBtr0089952,0.0,0.0
FBtr0089953,0.0,0.0
FBtr0332445,0.0,0.0
FBtr0306654,0.0,0.0
FBtr0089955,0.0,0.0
FBtr0302614,92.302238,38.440670000000004
FBtr0302615,0.0,0.0
FBtr0332446,0.0,0.0
FBtr0334899,0.0,0.0
FBtr0334965,0.0,0.0
FBtr0345143,0.0,0.0
FBtr0334966,0.0,0.0
FBtr0334964,0.0,0.0
FBtr0334905,0.0,0.0
FBtr0078868,80.044975,106.68908700000001
FBtr0078881,0.0,0.0
FBtr0078880,0.0,0.0
FBtr0334902,0.0,0.0
FBtr0334903,0.0,0.0
FBtr0344029,0.0,0.0
FBtr0301437,0.0,0.0
FBtr0303912,0.0,0.0
FBtr0303915,0.0,0.0
FBtr0344028,0.0,0.0
FBtr0303911,0.0,3.916233
FBtr0303914,0.0,0.0
FBtr0303917,0.0,0.0
FBtr0344030,67.486526,40.233452
FBtr0078876,7.21215,0.0
FBtr0334904,0.0,0.0
FBtr0345175,7.836758000000001,0.0
FBtr0078870,11.918352,11.225328
FBtr0078871,0.0,0.0
FBtr0345174,1.8578689999999998,5.680063
FBtr0078872,0.0,0.0
FBtr0334900,9.707732,10.400853999999999
FBtr0334901,0.0,0.0
FBtr0078875,11.963755,12.817953999999999
FBtr0078874,0.0,0.0
FBtr0078873,0.0,0.0
FBtr0078836,0.0,0.0
FBtr0078852,0.0,0.0
FBtr0345252,0.0,0.0
FBtr0346254,0.0,0.0
FBtr0078837,64.113342,36.128918
FBtr0100159,5.557612000000001,1.633086
FBtr0336810,0.0,0.0
FBtr0336812,0.0,0.0
FBtr0336809,0.0,0.0
FBtr0336811,0.0,0.0
FBtr0345154,0.0,0.0
FBtr0078851,0.0,0.0
FBtr0078849,26.992437,13.070573
FBtr0306106,51.195812,24.790598000000003
FBtr0078848,0.0,0.0
FBtr0305965,0.0,0.0
FBtr0078847,0.0,0.0
FBtr0305963,0.0,0.0
FBtr0305964,0.0,0.0
FBtr0335404,0.0,0.0
FBtr0078841,0.0,0.0
FBtr0078846,0.0,0.0
FBtr0309311,0.0,0.0
FBtr0308777,0.0,0.0
FBtr0301312,0.0,0.0
FBtr0346249,0.0,0.0
FBtr0309991,0.0,0.0
FBtr0346246,0.0,0.0
FBtr0308119,0.695868,1.24275
FBtr0308118,1.828498,3.2655119999999997
FBtr0345141,64.912643,36.151379
FBtr0308120,1.929414,3.4457379999999995
FBtr0078844,2.030344,3.804385
FBtr0305279,0.0,0.0
FBtr0078842,11.775249,11.121053999999999
FBtr0078843,0.0,0.0
FBtr0339316,0.0,0.0
FBtr0339317,0.0,0.0
FBtr0339315,0.0,0.0
FBtr0078773,0.0,0.0
FBtr0110950,0.0,0.0
FBtr0299709,0.0,0.0
FBtr0334910,0.0,0.0
FBtr0300525,57.93615,62.912884
FBtr0334911,0.0,0.0
FBtr0334912,0.0,0.0
FBtr0334913,0.0,0.0
FBtr0299710,0.0,0.0
FBtr0306791,0.0,0.0
FBtr0078831,0.0,0.0
FBtr0078774,0.0,0.0
FBtr0078775,0.0,0.0
FBtr0334907,0.0,0.0
FBtr0078830,9.821102,39.942501
FBtr0078829,21.22401,47.21909
FBtr0078828,46.030788,13.710196
FBtr0334908,0.0,0.0
FBtr0305000,0.0,0.0
FBtr0346146,0.0,0.0
FBtr0078777,0.0,0.0
FBtr0305001,0.0,0.0
FBtr0305002,31.07719,0.0
FBtr0078827,55.334263,79.49054699999999
FBtr0334909,0.0,0.0
FBtr0078778,0.0,0.0
FBtr0078825,0.0,0.0
FBtr0078822,102.22126,141.22406
FBtr0078823,0.0,0.0
FBtr0078824,0.0,0.0
FBtr0303994,0.0,0.0
FBtr0334326,0.0,0.0
FBtr0334325,0.0,0.0
FBtr0332428,0.0,0.0
FBtr0078779,0.0,0.0
FBtr0078821,17.332863,12.273202000000001
FBtr0334276,20.502651,23.004614
FBtr0344333,16.138320999999998,16.360836
FBtr0078820,0.0,0.0
FBtr0346781,0.38329,0.297757
FBtr0334275,30.688609999999997,13.846420000000002
FBtr0334274,0.0,0.0
FBtr0344334,0.542171,0.0
FBtr0078817,0.0,0.0
FBtr0078814,0.0,0.0
FBtr0078810,0.0,0.0
FBtr0273430,0.0,0.0
FBtr0078816,0.0,0.0
FBtr0078815,0.0,0.0
FBtr0078813,0.0,4.843588
FBtr0333695,0.0,2.907459
FBtr0100197,0.0,0.0
FBtr0110932,0.0,0.0
FBtr0078812,0.0,0.0
FBtr0078818,0.0,0.0
FBtr0078811,0.0,0.0
FBtr0100199,0.0,0.0
FBtr0110933,0.0,0.0
FBtr0273434,0.0,0.0
FBtr0306694,0.0,0.0
FBtr0308581,0.0,0.0
